BASE_YM,SIGNGU_NM,SIGNGU_CD,AVRG_INCOME_PRICE
"202411","강원특별자치도 강릉시","51150","35014"
"202411","강원특별자치도 고성군","51820","31875"
"202411","강원특별자치도 동해시","51170","35199"
"202411","강원특별자치도 삼척시","51230","33784"
"202411","강원특별자치도 속초시","51210","34639"
"202411","강원특별자치도 양구군","51800","34740"
"202411","강원특별자치도 양양군","51830","33420"
"202411","강원특별자치도 영월군","51750","33315"
"202411","강원특별자치도 원주시","51130","36288"
"202411","강원특별자치도 인제군","51810","34522"
"202411","강원특별자치도 정선군","51770","33523"
"202411","강원특별자치도 철원군","51780","34519"
"202411","강원특별자치도 춘천시","51110","35661"
"202411","강원특별자치도 태백시","51190","34370"
"202411","강원특별자치도 평창군","51760","33747"
"202411","강원특별자치도 홍천군","51720","33725"
"202411","강원특별자치도 화천군","51790","33563"
"202411","강원특별자치도 횡성군","51730","33194"
"202411","경기도 가평군","41820","33900"
"202411","경기도 고양시 덕양구","41281","38613"
"202411","경기도 고양시 일산동구","41285","41693"
"202411","경기도 고양시 일산서구","41287","40769"
"202411","경기도 과천시","41290","50702"
"202411","경기도 광명시","41210","38862"
"202411","경기도 광주시","41610","36619"
"202411","경기도 구리시","41310","37973"
"202411","경기도 군포시","41410","37915"
"202411","경기도 김포시","41570","39112"
"202411","경기도 남양주시","41360","37463"
"202411","경기도 동두천시","41250","32216"
"202411","경기도 부천시 소사구","41194","35843"
"202411","경기도 부천시 오정구","41196","33100"
"202411","경기도 부천시 원미구","41192","37059"
"202411","경기도 성남시 분당구","41135","53824"
"202411","경기도 성남시 수정구","41131","36438"
"202411","경기도 성남시 중원구","41133","35433"
"202411","경기도 수원시 권선구","41113","37475"
"202411","경기도 수원시 영통구","41117","46996"
"202411","경기도 수원시 장안구","41111","37483"
"202411","경기도 수원시 팔달구","41115","35906"
"202411","경기도 시흥시","41390","35829"
"202411","경기도 안산시 단원구","41273","34085"
"202411","경기도 안산시 상록구","41271","34238"
"202411","경기도 안성시","41550","34846"
"202411","경기도 안양시 동안구","41173","43234"
"202411","경기도 안양시 만안구","41171","36262"
"202411","경기도 양주시","41630","34269"
"202411","경기도 양평군","41830","36501"
"202411","경기도 여주시","41670","34569"
"202411","경기도 연천군","41800","33902"
"202411","경기도 오산시","41370","37471"
"202411","경기도 용인시 기흥구","41463","43033"
